ภาค,จังหวัด,เขตการปกครอง,กลุ่มอายุ (ย้ายถิ่น),ยอดรวม,ยอดรวม,ยอดรวม,ผู้ย้ายถิ่น,ผู้ย้ายถิ่น,ผู้ย้ายถิ่น,ผู้ไม่ย้ายถิ่น,ผู้ไม่ย้ายถิ่น,ผู้ไม่ย้ายถิ่น
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,ในเขตเทศบาล,60 ปีขึ้นไป," 5,560,347 "," 2,453,773 "," 3,106,574 "," 14,086 "," 5,201 "," 8,881 "," 5,546,261 "," 2,448,572 "," 3,097,693 "
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,นอกเขตเทศบาล,ยอดรวม," 37,560,561 "," 18,443,130 "," 19,117,433 "," 367,113 "," 184,825 "," 182,283 "," 37,193,448 "," 18,258,305 "," 18,935,150 "
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,นอกเขตเทศบาล,0 - 5," 1,946,966 "," 998,368 "," 948,598 "," 25,980 "," 14,710 "," 11,270 "," 1,920,986 "," 983,658 "," 937,328 "
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,นอกเขตเทศบาล,6 - 12," 3,433,701 "," 1,782,020 "," 1,651,682 "," 13,927 "," 5,160 "," 8,767 "," 3,419,774 "," 1,776,860 "," 1,642,915 "
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,นอกเขตเทศบาล,13 - 14," 1,066,587 "," 543,319 "," 523,263 "," 3,132 "," 2,962 ", 170 ," 1,063,455 "," 540,357 "," 523,093 "
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,นอกเขตเทศบาล,15 - 19," 2,537,321 "," 1,304,227 "," 1,233,094 "," 29,527 "," 12,844 "," 16,684 "," 2,507,794 "," 1,291,383 "," 1,216,410 "
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,นอกเขตเทศบาล,20 - 24," 2,692,752 "," 1,381,905 "," 1,310,847 "," 77,671 "," 32,237 "," 45,434 "," 2,615,081 "," 1,349,668 "," 1,265,413 "
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,นอกเขตเทศบาล,25 - 29," 2,626,423 "," 1,340,819 "," 1,285,604 "," 61,787 "," 36,005 "," 25,785 "," 2,564,636 "," 1,304,814 "," 1,259,819 "
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,นอกเขตเทศบาล,30 - 34," 2,243,376 "," 1,151,571 "," 1,091,805 "," 48,386 "," 19,610 "," 28,770 "," 2,194,990 "," 1,131,961 "," 1,063,035 "
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,นอกเขตเทศบาล,35 - 39," 2,237,979 "," 1,130,602 "," 1,107,377 "," 31,552 "," 17,056 "," 14,496 "," 2,206,427 "," 1,113,546 "," 1,092,881 "
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,นอกเขตเทศบาล,40 - 44," 2,487,345 "," 1,215,645 "," 1,271,699 "," 23,258 "," 15,650 "," 7,606 "," 2,464,087 "," 1,199,995 "," 1,264,093 "
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,นอกเขตเทศบาล,45 - 49," 2,778,080 "," 1,348,721 "," 1,429,367 "," 13,754 "," 8,220 "," 5,534 "," 2,764,326 "," 1,340,501 "," 1,423,833 "
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,นอกเขตเทศบาล,50 - 54," 2,867,475 "," 1,355,787 "," 1,511,689 "," 12,776 "," 8,052 "," 4,724 "," 2,854,699 "," 1,347,735 "," 1,506,965 "
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,นอกเขตเทศบาล,55 - 59," 2,844,152 "," 1,369,897 "," 1,474,253 "," 10,271 "," 5,663 "," 4,608 "," 2,833,881 "," 1,364,234 "," 1,469,645 "
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,นอกเขตเทศบาล,60 ปีขึ้นไป," 7,798,404 "," 3,520,249 "," 4,278,155 "," 15,092 "," 6,656 "," 8,435 "," 7,783,312 "," 3,513,593 "," 4,269,720 "
กรุงเทพมหานคร,กรุงเทพมหานคร,รวม,ยอดรวม," 8,879,149 "," 4,294,859 "," 4,584,291 "," 49,002 "," 29,961 "," 19,043 "," 8,830,147 "," 4,264,898 "," 4,565,248 "
กรุงเทพมหานคร,กรุงเทพมหานคร,รวม,0 - 5," 415,351 "," 205,470 "," 209,881 "," 4,493 "," 2,275 "," 2,218 "," 410,858 "," 203,195 "," 207,663 "
กรุงเทพมหานคร,กรุงเทพมหานคร,รวม,6 - 12," 582,506 "," 307,346 "," 275,160 ", -   , -   , -   ," 582,506 "," 307,346 "," 275,160 "
กรุงเทพมหานคร,กรุงเทพมหานคร,รวม,13 - 14," 212,763 "," 105,208 "," 107,555 ", -   , -   , -   ," 212,763 "," 105,208 "," 107,555 "
กรุงเทพมหานคร,กรุงเทพมหานคร,รวม,15 - 19," 346,673 "," 173,346 "," 173,327 ", 567 , 567 , -   ," 346,106 "," 172,779 "," 173,327 "
กรุงเทพมหานคร,กรุงเทพมหานคร,รวม,20 - 24," 518,298 "," 258,714 "," 259,584 "," 11,008 "," 6,698 "," 4,311 "," 507,290 "," 252,016 "," 255,273 "
กรุงเทพมหานคร,กรุงเทพมหานคร,รวม,25 - 29," 686,029 "," 346,024 "," 340,005 "," 8,903 "," 6,680 "," 2,223 "," 677,126 "," 339,344 "," 337,782 "
กรุงเทพมหานคร,กรุงเทพมหานคร,รวม,30 - 34," 898,581 "," 433,406 "," 465,175 "," 5,332 "," 3,019 "," 2,313 "," 893,249 "," 430,387 "," 462,862 "
กรุงเทพมหานคร,กรุงเทพมหานคร,รวม,35 - 39," 882,961 "," 420,954 "," 462,007 "," 7,904 "," 5,831 "," 2,073 "," 875,057 "," 415,123 "," 459,934 "
กรุงเทพมหานคร,กรุงเทพมหานคร,รวม,40 - 44," 890,667 "," 451,062 "," 439,607 "," 5,872 "," 4,891 ", 982 ," 884,795 "," 446,171 "," 438,625 "
กรุงเทพมหานคร,กรุงเทพมหานคร,รวม,45 - 49," 797,505 "," 378,413 "," 419,092 "," 2,891 ", -   ," 2,891 "," 794,614 "," 378,413 "," 416,201 "
กรุงเทพมหานคร,กรุงเทพมหานคร,รวม,50 - 54," 691,993 "," 332,439 "," 359,553 ", 720 , -   , 720 ," 691,273 "," 332,439 "," 358,833 "
กรุงเทพมหานคร,กรุงเทพมหานคร,รวม,55 - 59," 612,996 "," 293,302 "," 319,694 ", -   , -   , -   ," 612,996 "," 293,302 "," 319,694 "
กรุงเทพมหานคร,กรุงเทพมหานคร,รวม,60 ปีขึ้นไป," 1,342,826 "," 589,175 "," 753,651 "," 1,312 ", -   ," 1,312 "," 1,341,514 "," 589,175 "," 752,339 "
ภาคกลาง,ภาคกลาง,รวม,ยอดรวม," 20,421,112 "," 9,971,510 "," 10,449,598 "," 213,789 "," 112,369 "," 101,417 "," 20,207,323 "," 9,859,141 "," 10,348,181 "
ภาคกลาง,ภาคกลาง,รวม,0 - 5," 906,133 "," 451,427 "," 454,704 "," 9,373 "," 4,626 "," 4,746 "," 896,760 "," 446,801 "," 449,958 "
ภาคกลาง,ภาคกลาง,รวม,6 - 12," 1,540,088 "," 798,349 "," 741,739 "," 12,408 "," 5,033 "," 7,376 "," 1,527,680 "," 793,316 "," 734,363 "
ภาคกลาง,ภาคกลาง,รวม,13 - 14," 491,079 "," 250,096 "," 240,975 "," 1,565 ", 650 , 915 ," 489,514 "," 249,446 "," 240,060 "
ภาคกลาง,ภาคกลาง,รวม,15 - 19," 1,117,285 "," 565,699 "," 551,586 "," 14,738 "," 8,261 "," 6,477 "," 1,102,547 "," 557,438 "," 545,109 "
ภาคกลาง,ภาคกลาง,รวม,20 - 24," 1,382,815 "," 705,312 "," 677,503 "," 34,397 "," 12,966 "," 21,430 "," 1,348,418 "," 692,346 "," 656,073 "
ภาคกลาง,ภาคกลาง,รวม,25 - 29," 1,609,097 "," 832,110 "," 776,987 "," 37,475 "," 25,728 "," 11,745 "," 1,571,622 "," 806,382 "," 765,242 "
ภาคกลาง,ภาคกลาง,รวม,30 - 34," 1,669,462 "," 852,353 "," 817,109 "," 32,692 "," 12,935 "," 19,754 "," 1,636,770 "," 839,418 "," 797,355 "
ภาคกลาง,ภาคกลาง,รวม,35 - 39," 1,704,608 "," 843,217 "," 861,392 "," 19,781 "," 11,497 "," 8,287 "," 1,684,827 "," 831,720 "," 853,105 "
ภาคกลาง,ภาคกลาง,รวม,40 - 44," 1,739,971 "," 847,841 "," 892,126 "," 20,424 "," 13,250 "," 7,173 "," 1,719,547 "," 834,591 "," 884,953 "
ภาคกลาง,ภาคกลาง,รวม,45 - 49," 1,703,631 "," 839,908 "," 863,731 "," 8,464 "," 5,745 "," 2,721 "," 1,695,167 "," 834,163 "," 861,010 "
ภาคกลาง,ภาคกลาง,รวม,50 - 54," 1,561,610 "," 762,185 "," 799,428 "," 7,556 "," 5,925 "," 1,631 "," 1,554,054 "," 756,260 "," 797,797 "
ภาคกลาง,ภาคกลาง,รวม,55 - 59," 1,477,105 "," 682,720 "," 794,383 "," 6,726 "," 3,036 "," 3,690 "," 1,470,379 "," 679,684 "," 790,693 "
ภาคกลาง,ภาคกลาง,รวม,60 ปีขึ้นไป," 3,518,228 "," 1,540,293 "," 1,977,935 "," 8,190 "," 2,717 "," 5,472 "," 3,510,038 "," 1,537,576 "," 1,972,463 "
ภาคกลาง,ภาคกลาง,ในเขตเทศบาล,ยอดรวม," 9,405,726 "," 4,544,651 "," 4,861,073 "," 116,686 "," 63,935 "," 52,750 "," 9,289,040 "," 4,480,716 "," 4,808,323 "
ภาคกลาง,ภาคกลาง,ในเขตเทศบาล,0 - 5," 428,058 "," 209,902 "," 218,154 "," 2,736 ", 746 ," 1,990 "," 425,322 "," 209,156 "," 216,164 "
ภาคกลาง,ภาคกลาง,ในเขตเทศบาล,6 - 12," 648,203 "," 327,509 "," 320,690 "," 6,405 "," 4,073 "," 2,332 "," 641,798 "," 323,436 "," 318,358 "
ภาคกลาง,ภาคกลาง,ในเขตเทศบาล,13 - 14," 212,186 "," 111,646 "," 100,540 "," 1,152 ", 237 , 915 ," 211,034 "," 111,409 "," 99,625 "
ภาคกลาง,ภาคกลาง,ในเขตเทศบาล,15 - 19," 498,403 "," 247,987 "," 250,416 "," 6,763 "," 3,589 "," 3,174 "," 491,640 "," 244,398 "," 247,242 "
ภาคกลาง,ภาคกลาง,ในเขตเทศบาล,20 - 24," 646,567 "," 322,030 "," 324,537 "," 17,023 "," 5,426 "," 11,595 "," 629,544 "," 316,604 "," 312,942 "
ภาคกลาง,ภาคกลาง,ในเขตเทศบาล,25 - 29," 780,876 "," 395,915 "," 384,961 "," 22,893 "," 17,187 "," 5,703 "," 757,983 "," 378,728 "," 379,258 "
ภาคกลาง,ภาคกลาง,ในเขตเทศบาล,30 - 34," 816,275 "," 409,207 "," 407,068 "," 17,648 "," 8,628 "," 9,020 "," 798,627 "," 400,579 "," 398,048 "
ภาคกลาง,ภาคกลาง,ในเขตเทศบาล,35 - 39," 826,470 "," 405,214 "," 421,257 "," 15,583 "," 7,978 "," 7,608 "," 810,887 "," 397,236 "," 413,649 "
ภาคกลาง,ภาคกลาง,ในเขตเทศบาล,40 - 44," 812,445 "," 386,308 "," 426,133 "," 11,337 "," 7,254 "," 4,083 "," 801,108 "," 379,054 "," 422,050 "
ภาคกลาง,ภาคกลาง,ในเขตเทศบาล,45 - 49," 812,891 "," 404,931 "," 407,965 "," 4,217 "," 2,574 "," 1,645 "," 808,674 "," 402,357 "," 406,320 "
ภาคกลาง,ภาคกลาง,ในเขตเทศบาล,50 - 54," 737,262 "," 370,360 "," 366,903 "," 4,388 "," 3,377 "," 1,011 "," 732,874 "," 366,983 "," 365,892 "
ภาคกลาง,ภาคกลาง,ในเขตเทศบาล,55 - 59," 643,695 "," 282,452 "," 361,244 "," 1,993 "," 1,169 ", 824 ," 641,702 "," 281,283 "," 360,420 "
ภาคกลาง,ภาคกลาง,ในเขตเทศบาล,60 ปีขึ้นไป," 1,542,395 "," 671,190 "," 871,205 "," 4,548 "," 1,697 "," 2,850 "," 1,537,847 "," 669,493 "," 868,355 "
ภาคกลาง,ภาคกลาง,นอกเขตเทศบาล,ยอดรวม," 11,015,386 "," 5,426,859 "," 5,588,525 "," 97,103 "," 48,434 "," 48,667 "," 10,918,283 "," 5,378,425 "," 5,539,858 "
ภาคกลาง,ภาคกลาง,นอกเขตเทศบาล,0 - 5," 478,075 "," 241,525 "," 236,550 "," 6,637 "," 3,880 "," 2,756 "," 471,438 "," 237,645 "," 233,794 "
ภาคกลาง,ภาคกลาง,นอกเขตเทศบาล,6 - 12," 891,885 "," 470,840 "," 421,049 "," 6,003 ", 960 ," 5,044 "," 885,882 "," 469,880 "," 416,005 "
ภาคกลาง,ภาคกลาง,นอกเขตเทศบาล,13 - 14," 278,893 "," 138,450 "," 140,435 ", 413 , 413 , -   ," 278,480 "," 138,037 "," 140,435 "
ภาคกลาง,ภาคกลาง,นอกเขตเทศบาล,15 - 19," 618,882 "," 317,712 "," 301,170 "," 7,975 "," 4,672 "," 3,303 "," 610,907 "," 313,040 "," 297,867 "
ภาคกลาง,ภาคกลาง,นอกเขตเทศบาล,20 - 24," 736,248 "," 383,282 "," 352,966 "," 17,374 "," 7,540 "," 9,835 "," 718,874 "," 375,742 "," 343,131 "
ภาคกลาง,ภาคกลาง,นอกเขตเทศบาล,25 - 29," 828,221 "," 436,195 "," 392,026 "," 14,582 "," 8,541 "," 6,042 "," 813,639 "," 427,654 "," 385,984 "
ภาคกลาง,ภาคกลาง,นอกเขตเทศบาล,30 - 34," 853,187 "," 443,146 "," 410,041 "," 15,044 "," 4,307 "," 10,734 "," 838,143 "," 438,839 "," 399,307 "
ภาคกลาง,ภาคกลาง,นอกเขตเทศบาล,35 - 39," 878,138 "," 438,003 "," 440,135 "," 4,198 "," 3,519 ", 679 ," 873,940 "," 434,484 "," 439,456 "
ภาคกลาง,ภาคกลาง,นอกเขตเทศบาล,40 - 44," 927,526 "," 461,533 "," 465,993 "," 9,087 "," 5,996 "," 3,090 "," 918,439 "," 455,537 "," 462,903 "
ภาคกลาง,ภาคกลาง,นอกเขตเทศบาล,45 - 49," 890,740 "," 434,977 "," 455,766 "," 4,247 "," 3,171 "," 1,076 "," 886,493 "," 431,806 "," 454,690 "
ภาคกลาง,ภาคกลาง,นอกเขตเทศบาล,50 - 54," 824,348 "," 391,825 "," 432,525 "," 3,168 "," 2,548 ", 620 ," 821,180 "," 389,277 "," 431,905 "
ภาคกลาง,ภาคกลาง,นอกเขตเทศบาล,55 - 59," 833,410 "," 400,268 "," 433,139 "," 4,733 "," 1,867 "," 2,866 "," 828,677 "," 398,401 "," 430,273 "
ภาคกลาง,ภาคกลาง,นอกเขตเทศบาล,60 ปีขึ้นไป," 1,975,833 "," 869,103 "," 1,106,730 "," 3,642 "," 1,020 "," 2,622 "," 1,972,191 "," 868,083 "," 1,104,108 "
ภาคกลาง,สมุทรปราการ,รวม,ยอดรวม," 2,239,330 "," 1,081,227 "," 1,158,102 "," 37,013 "," 19,658 "," 17,353 "," 2,202,317 "," 1,061,569 "," 1,140,749 "
ภาคกลาง,สมุทรปราการ,รวม,0 - 5," 73,431 "," 36,177 "," 37,254 ", -   , -   , -   ," 73,431 "," 36,177 "," 37,254 "
ภาคกลาง,สมุทรปราการ,รวม,6 - 12," 146,267 "," 74,319 "," 71,948 "," 3,144 "," 2,193 ", 951 ," 143,123 "," 72,126 "," 70,997 "
ภาคกลาง,สมุทรปราการ,รวม,13 - 14," 38,140 "," 20,677 "," 17,463 ", -   , -   , -   ," 38,140 "," 20,677 "," 17,463 "
ภาคกลาง,สมุทรปราการ,รวม,15 - 19," 95,376 "," 49,934 "," 45,442 "," 3,083 "," 1,946 "," 1,137 "," 92,293 "," 47,988 "," 44,305 "
ภาคกลาง,สมุทรปราการ,รวม,20 - 24," 131,972 "," 66,330 "," 65,642 "," 2,112 ", -   ," 2,112 "," 129,860 "," 66,330 "," 63,530 "
ภาคกลาง,สมุทรปราการ,รวม,25 - 29," 191,106 "," 94,500 "," 96,606 "," 3,827 "," 3,216 ", 610 ," 187,279 "," 91,284 "," 95,996 "
ภาคกลาง,สมุทรปราการ,รวม,30 - 34," 226,292 "," 108,043 "," 118,249 "," 9,895 ", 419 ," 9,475 "," 216,397 "," 107,624 "," 108,774 "
ภาคกลาง,สมุทรปราการ,รวม,35 - 39," 228,218 "," 111,104 "," 117,114 "," 4,092 "," 4,092 ", -   ," 224,126 "," 107,012 "," 117,114 "
ภาคกลาง,สมุทรปราการ,รวม,40 - 44," 206,711 "," 94,218 "," 112,493 "," 3,134 "," 3,134 ", -   ," 203,577 "," 91,084 "," 112,493 "
ภาคกลาง,สมุทรปราการ,รวม,45 - 49," 229,861 "," 117,674 "," 112,187 ", 708 , 708 , -   ," 229,153 "," 116,966 "," 112,187 "
ภาคกลาง,สมุทรปราการ,รวม,50 - 54," 196,038 "," 102,218 "," 93,820 "," 3,093 "," 2,556 ", 537 ," 192,945 "," 99,662 "," 93,283 "
ภาคกลาง,สมุทรปราการ,รวม,55 - 59," 155,644 "," 68,203 "," 87,440 "," 2,823 "," 1,394 "," 1,429 "," 152,821 "," 66,809 "," 86,011 "
ภาคกลาง,สมุทรปราการ,รวม,60 ปีขึ้นไป," 320,274 "," 137,830 "," 182,444 "," 1,102 ", -   ," 1,102 "," 319,172 "," 137,830 "," 181,342 "
ภาคกลาง,สมุทรปราการ,ในเขตเทศบาล,ยอดรวม," 1,327,581 "," 637,816 "," 689,765 "," 14,766 "," 9,053 "," 5,713 "," 1,312,815 "," 628,763 "," 684,052 "
ภาคกลาง,สมุทรปราการ,ในเขตเทศบาล,0 - 5," 52,939 "," 28,193 "," 24,746 ", -   , -   , -   ," 52,939 "," 28,193 "," 24,746 "
ภาคกลาง,สมุทรปราการ,ในเขตเทศบาล,6 - 12," 71,139 "," 35,222 "," 35,917 "," 2,193 "," 2,193 ", -   ," 68,946 "," 33,029 "," 35,917 "
ภาคกลาง,สมุทรปราการ,ในเขตเทศบาล,13 - 14," 28,740 "," 13,963 "," 14,777 ", -   , -   , -   ," 28,740 "," 13,963 "," 14,777 "
ภาคกลาง,สมุทรปราการ,ในเขตเทศบาล,15 - 19," 56,521 "," 29,456 "," 27,065 "," 1,137 ", -   ," 1,137 "," 55,384 "," 29,456 "," 25,928 "
ภาคกลาง,สมุทรปราการ,ในเขตเทศบาล,20 - 24," 78,225 "," 39,129 "," 39,096 "," 1,117 ", -   ," 1,117 "," 77,108 "," 39,129 "," 37,979 "
ภาคกลาง,สมุทรปราการ,ในเขตเทศบาล,25 - 29," 113,284 "," 55,745 "," 57,539 "," 2,550 "," 2,550 ", -   ," 110,734 "," 53,195 "," 57,539 "
ภาคกลาง,สมุทรปราการ,ในเขตเทศบาล,30 - 34," 134,164 "," 63,735 "," 70,429 "," 2,357 ", -   ," 2,357 "," 131,807 "," 63,735 "," 68,072 "
ภาคกลาง,สมุทรปราการ,ในเขตเทศบาล,35 - 39," 135,293 "," 65,540 "," 69,753 "," 2,278 "," 2,278 ", -   ," 133,015 "," 63,262 "," 69,753 "
ภาคกลาง,สมุทรปราการ,ในเขตเทศบาล,40 - 44," 122,258 "," 55,577 "," 66,681 ", -   , -   , -   ," 122,258 "," 55,577 "," 66,681 "
ภาคกลาง,สมุทรปราการ,ในเขตเทศบาล,45 - 49," 136,556 "," 69,418 "," 67,138 ", -   , -   , -   ," 136,556 "," 69,418 "," 67,138 "
ภาคกลาง,สมุทรปราการ,ในเขตเทศบาล,50 - 54," 121,173 "," 70,015 "," 51,158 "," 2,032 "," 2,032 ", -   ," 119,141 "," 67,983 "," 51,158 "
ภาคกลาง,สมุทรปราการ,ในเขตเทศบาล,55 - 59," 87,315 "," 30,514 "," 56,801 ", -   , -   , -   ," 87,315 "," 30,514 "," 56,801 "
ภาคกลาง,สมุทรปราการ,ในเขตเทศบาล,60 ปีขึ้นไป," 189,974 "," 81,309 "," 108,665 "," 1,102 ", -   ," 1,102 "," 188,872 "," 81,309 "," 107,563 "
ภาคกลาง,สมุทรปราการ,นอกเขตเทศบาล,ยอดรวม," 911,749 "," 443,411 "," 468,337 "," 22,247 "," 10,605 "," 11,640 "," 889,502 "," 432,806 "," 456,697 "
ภาคกลาง,สมุทรปราการ,นอกเขตเทศบาล,0 - 5," 20,492 "," 7,984 "," 12,508 ", -   , -   , -   ," 20,492 "," 7,984 "," 12,508 "
ภาคกลาง,สมุทรปราการ,นอกเขตเทศบาล,6 - 12," 75,128 "," 39,097 "," 36,031 ", 951 , -   , 951 ," 74,177 "," 39,097 "," 35,080 "
ภาคกลาง,สมุทรปราการ,นอกเขตเทศบาล,13 - 14," 9,400 "," 6,714 "," 2,686 ", -   , -   , -   ," 9,400 "," 6,714 "," 2,686 "
