ภาค,จังหวัด,สถานภาพแรงงาน,กำลังแรงงาน,กำลังแรงงานปัจจุบัน,รวม,ชาย,หญิง
กรุงเทพมหานคร,กรุงเทพมหานคร,ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,ผู้ว่างงาน,934461.665,465663.325,468798.3425
ภาคกลาง,สมุทรปราการ,ประชากรอายุ 15 ปีขึ้นไป,อื่นๆ,ผู้ว่างงาน,1969090.498,944466,1024624.5
ภาคกลาง,สมุทรปราการ,กำลังแรงงานรวม,อื่นๆ,ผู้ว่างงาน,1402577.31,752691.5975,649885.715
ภาคกลาง,สมุทรปราการ,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้ว่างงาน,1402267.083,752381.37,649885.715
ภาคกลาง,สมุทรปราการ,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้มีงานทำ,1374357.893,737436,636921.8925
ภาคกลาง,สมุทรปราการ,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้ว่างงาน,27909.1925,14945.3725,12963.8175
ภาคกลาง,สมุทรปราการ,กำลังแรงงานรวม,กำลังแรงงานที่รอฤดูกาล,ผู้ว่างงาน,310.2275,310.2275,0
ภาคกลาง,สมุทรปราการ,ผู้ไม่อยู่ในกำลังแรงงาน,กำลังแรงงานที่รอฤดูกาล,ผู้ว่างงาน,566513.19,191774.4025,374738.785
ภาคกลาง,สมุทรปราการ,ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,ผู้ว่างงาน,190624.92,13660.44,176964.4825
ภาคกลาง,สมุทรปราการ,ผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,ผู้ว่างงาน,118591.065,60276.1375,58314.9275
ภาคกลาง,สมุทรปราการ,ผู้ไม่อยู่ในกำลังแรงงาน,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้,ผู้ว่างงาน,45812,19720,26092
ภาคกลาง,สมุทรปราการ,ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,ผู้ว่างงาน,211485.2125,98117.895,113367.57
ภาคกลาง,นนทบุรี,ประชากรอายุ 15 ปีขึ้นไป,อื่นๆ,ผู้ว่างงาน,1488104.5,695024.75,793079.75
ภาคกลาง,นนทบุรี,กำลังแรงงานรวม,อื่นๆ,ผู้ว่างงาน,982717.74,521718.5475,460999.1925
ภาคกลาง,นนทบุรี,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้ว่างงาน,982515.065,521718.5475,460796.5175
ภาคกลาง,นนทบุรี,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้มีงานทำ,961488.625,512884.6075,448604.0175
ภาคกลาง,นนทบุรี,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้ว่างงาน,21026.4425,8833.94,12192.5
ภาคกลาง,นนทบุรี,กำลังแรงงานรวม,กำลังแรงงานที่รอฤดูกาล,ผู้ว่างงาน,202.6725,0,202.6725
ภาคกลาง,นนทบุรี,ผู้ไม่อยู่ในกำลังแรงงาน,กำลังแรงงานที่รอฤดูกาล,ผู้ว่างงาน,505386.76,173306.2025,332080.5575
ภาคกลาง,นนทบุรี,ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,ผู้ว่างงาน,152973.3625,6713.6325,146259.73
ภาคกลาง,นนทบุรี,ผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,ผู้ว่างงาน,91896.23,48363.4725,43532.7575
ภาคกลาง,นนทบุรี,ผู้ไม่อยู่ในกำลังแรงงาน,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้,ผู้ว่างงาน,46984.75,19383.75,27600.75
ภาคกลาง,นนทบุรี,ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,ผู้ว่างงาน,213532.5275,98845.195,114687.3325
ภาคกลาง,ปทุมธานี,ประชากรอายุ 15 ปีขึ้นไป,อื่นๆ,ผู้ว่างงาน,1399951,669392.75,730558.25
ภาคกลาง,ปทุมธานี,กำลังแรงงานรวม,อื่นๆ,ผู้ว่างงาน,985270.9975,524913.5275,460357.4725
ภาคกลาง,ปทุมธานี,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้ว่างงาน,985270.9975,524913.5275,460357.4725
ภาคกลาง,ปทุมธานี,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้มีงานทำ,965011.6875,514236.5525,450775.135
ภาคกลาง,ปทุมธานี,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้ว่างงาน,20259.3125,10676.9725,9582.3375
ภาคกลาง,ปทุมธานี,กำลังแรงงานรวม,กำลังแรงงานที่รอฤดูกาล,ผู้ว่างงาน,0,0,0
ภาคกลาง,ปทุมธานี,ผู้ไม่อยู่ในกำลังแรงงาน,กำลังแรงงานที่รอฤดูกาล,ผู้ว่างงาน,414680.0025,144479.225,270200.7775
ภาคกลาง,ปทุมธานี,ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,ผู้ว่างงาน,137776.9025,14056.03,123720.8725
ภาคกลาง,ปทุมธานี,ผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,ผู้ว่างงาน,101802.175,49335.435,52466.735
ภาคกลาง,ปทุมธานี,ผู้ไม่อยู่ในกำลังแรงงาน,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้,ผู้ว่างงาน,28827.5,12526.75,16300.75
ภาคกลาง,ปทุมธานี,ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,ผู้ว่างงาน,146273.21,68561.1225,77712.3375
ภาคกลาง,พระนครศรีอยุธยา,ประชากรอายุ 15 ปีขึ้นไป,อื่นๆ,ผู้ว่างงาน,742171.4975,361616.25,380555.25
ภาคกลาง,พระนครศรีอยุธยา,กำลังแรงงานรวม,อื่นๆ,ผู้ว่างงาน,497983.66,266276.86,231706.8
ภาคกลาง,พระนครศรีอยุธยา,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้ว่างงาน,496464.385,265290.49,231173.895
ภาคกลาง,พระนครศรีอยุธยา,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้มีงานทำ,488837.6,260542.3875,228295.2125
ภาคกลาง,พระนครศรีอยุธยา,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้ว่างงาน,7626.7825,4748.105,2878.6825
ภาคกลาง,พระนครศรีอยุธยา,กำลังแรงงานรวม,กำลังแรงงานที่รอฤดูกาล,ผู้ว่างงาน,1519.2725,986.37,532.9025
ภาคกลาง,พระนครศรีอยุธยา,ผู้ไม่อยู่ในกำลังแรงงาน,กำลังแรงงานที่รอฤดูกาล,ผู้ว่างงาน,244187.8425,95339.39,148848.45
ภาคกลาง,พระนครศรีอยุธยา,ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,ผู้ว่างงาน,57062.105,3585.335,53476.7725
ภาคกลาง,พระนครศรีอยุธยา,ผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,ผู้ว่างงาน,61943.7925,29100.81,32842.9825
ภาคกลาง,พระนครศรีอยุธยา,ผู้ไม่อยู่ในกำลังแรงงาน,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้,ผู้ว่างงาน,22014.75,8536.5,13478.25
ภาคกลาง,พระนครศรีอยุธยา,ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,ผู้ว่างงาน,103167.2825,54116.63,49050.65
ภาคกลาง,อ่างทอง,ประชากรอายุ 15 ปีขึ้นไป,อื่นๆ,ผู้ว่างงาน,220047,103265.5,116781.5
ภาคกลาง,อ่างทอง,กำลังแรงงานรวม,อื่นๆ,ผู้ว่างงาน,137438.1125,71171.165,66266.9425
ภาคกลาง,อ่างทอง,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้ว่างงาน,137335.3275,71092.8125,66242.5125
ภาคกลาง,อ่างทอง,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้มีงานทำ,134632.45,69668.805,64963.65
ภาคกลาง,อ่างทอง,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้ว่างงาน,2702.8775,1424.0075,1278.8675
ภาคกลาง,อ่างทอง,กำลังแรงงานรวม,กำลังแรงงานที่รอฤดูกาล,ผู้ว่างงาน,102.785,78.3525,24.43
ภาคกลาง,อ่างทอง,ผู้ไม่อยู่ในกำลังแรงงาน,กำลังแรงงานที่รอฤดูกาล,ผู้ว่างงาน,82608.89,32094.335,50514.56
ภาคกลาง,อ่างทอง,ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,ผู้ว่างงาน,22559.5,3820.88,18738.62
ภาคกลาง,อ่างทอง,ผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,ผู้ว่างงาน,15113.5575,7790.755,7322.8
ภาคกลาง,อ่างทอง,ผู้ไม่อยู่ในกำลังแรงงาน,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้,ผู้ว่างงาน,8621.5,3615.75,5005.75
ภาคกลาง,อ่างทอง,ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,ผู้ว่างงาน,36314.405,16867.045,19447.3575
ภาคกลาง,ลพบุรี,ประชากรอายุ 15 ปีขึ้นไป,อื่นๆ,ผู้ว่างงาน,652588.0025,325609.5,326978.5025
ภาคกลาง,ลพบุรี,กำลังแรงงานรวม,อื่นๆ,ผู้ว่างงาน,438342.43,244100.1375,194242.2925
ภาคกลาง,ลพบุรี,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้ว่างงาน,435556.645,242942.215,192614.435
ภาคกลาง,ลพบุรี,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้มีงานทำ,423802.085,235673.69,188128.395
ภาคกลาง,ลพบุรี,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้ว่างงาน,11754.5625,7268.52,4486.04
ภาคกลาง,ลพบุรี,กำลังแรงงานรวม,กำลังแรงงานที่รอฤดูกาล,ผู้ว่างงาน,2785.785,1157.925,1627.8575
ภาคกลาง,ลพบุรี,ผู้ไม่อยู่ในกำลังแรงงาน,กำลังแรงงานที่รอฤดูกาล,ผู้ว่างงาน,214245.57,81509.3625,132736.2075
ภาคกลาง,ลพบุรี,ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,ผู้ว่างงาน,52441.41,4295.58,48145.825
ภาคกลาง,ลพบุรี,ผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,ผู้ว่างงาน,50675.425,24488.82,26186.605
ภาคกลาง,ลพบุรี,ผู้ไม่อยู่ในกำลังแรงงาน,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้,ผู้ว่างงาน,20090.5,8284.25,11806
ภาคกลาง,ลพบุรี,ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,ผู้ว่างงาน,91038.23,44440.53,46597.7
ภาคกลาง,สิงห์บุรี,ประชากรอายุ 15 ปีขึ้นไป,อื่นๆ,ผู้ว่างงาน,177222,83574.25,93647.75
ภาคกลาง,สิงห์บุรี,กำลังแรงงานรวม,อื่นๆ,ผู้ว่างงาน,109014.7525,56294.9925,52719.7575
ภาคกลาง,สิงห์บุรี,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้ว่างงาน,108957.855,56262.2125,52695.64
ภาคกลาง,สิงห์บุรี,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้มีงานทำ,106067.575,54559.085,51508.4925
ภาคกลาง,สิงห์บุรี,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้ว่างงาน,2890.275,1703.1325,1187.145
ภาคกลาง,สิงห์บุรี,กำลังแรงงานรวม,กำลังแรงงานที่รอฤดูกาล,ผู้ว่างงาน,56.9,32.78,24.1175
ภาคกลาง,สิงห์บุรี,ผู้ไม่อยู่ในกำลังแรงงาน,กำลังแรงงานที่รอฤดูกาล,ผู้ว่างงาน,68207.245,27279.255,40927.995
ภาคกลาง,สิงห์บุรี,ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,ผู้ว่างงาน,19824.02,3608.6,16215.425
ภาคกลาง,สิงห์บุรี,ผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,ผู้ว่างงาน,12472.8775,6137.435,6335.435
ภาคกลาง,สิงห์บุรี,ผู้ไม่อยู่ในกำลังแรงงาน,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้,ผู้ว่างงาน,7544.5,3478.75,4065.75
ภาคกลาง,สิงห์บุรี,ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,ผู้ว่างงาน,28365.755,14054.4575,14311.3025
ภาคกลาง,ชัยนาท,ประชากรอายุ 15 ปีขึ้นไป,อื่นๆ,ผู้ว่างงาน,268844.005,126887.25,141956.75
ภาคกลาง,ชัยนาท,กำลังแรงงานรวม,อื่นๆ,ผู้ว่างงาน,180026.1325,95514.5975,84511.5325
ภาคกลาง,ชัยนาท,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้ว่างงาน,179588.13,95293.145,84294.9875
ภาคกลาง,ชัยนาท,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้มีงานทำ,175681.3325,93124.415,82556.9225
ภาคกลาง,ชัยนาท,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้ว่างงาน,3906.795,2168.73,1738.0625
ภาคกลาง,ชัยนาท,กำลังแรงงานรวม,กำลังแรงงานที่รอฤดูกาล,ผู้ว่างงาน,438.005,221.4575,216.5475
ภาคกลาง,ชัยนาท,ผู้ไม่อยู่ในกำลังแรงงาน,กำลังแรงงานที่รอฤดูกาล,ผู้ว่างงาน,88817.875,31372.6525,57445.22
ภาคกลาง,ชัยนาท,ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,ผู้ว่างงาน,23074.58,1968.19,21106.39
ภาคกลาง,ชัยนาท,ผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,ผู้ว่างงาน,15969.43,7629.8275,8339.6075
ภาคกลาง,ชัยนาท,ผู้ไม่อยู่ในกำลังแรงงาน,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้,ผู้ว่างงาน,10647.25,4451.75,6195.5
ภาคกลาง,ชัยนาท,ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,ผู้ว่างงาน,39126.51,17322.7725,21803.735
ภาคกลาง,สระบุรี,ประชากรอายุ 15 ปีขึ้นไป,อื่นๆ,ผู้ว่างงาน,597214.25,294739,302475.25
ภาคกลาง,สระบุรี,กำลังแรงงานรวม,อื่นๆ,ผู้ว่างงาน,400305.3225,222503.28,177802.04
ภาคกลาง,สระบุรี,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้ว่างงาน,399570.87,222170.33,177400.54
ภาคกลาง,สระบุรี,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้มีงานทำ,390453.5275,215946.495,174507.0375
ภาคกลาง,สระบุรี,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้ว่างงาน,9117.3425,6223.84,2893.5025
ภาคกลาง,สระบุรี,กำลังแรงงานรวม,กำลังแรงงานที่รอฤดูกาล,ผู้ว่างงาน,734.45,332.95,401.5
ภาคกลาง,สระบุรี,ผู้ไม่อยู่ในกำลังแรงงาน,กำลังแรงงานที่รอฤดูกาล,ผู้ว่างงาน,196908.9275,72235.7175,124673.21
ภาคกลาง,สระบุรี,ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,ผู้ว่างงาน,59349.7525,4611.6625,54738.09
ภาคกลาง,สระบุรี,ผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,ผู้ว่างงาน,41432.9475,20182.8675,21250.08
ภาคกลาง,สระบุรี,ผู้ไม่อยู่ในกำลังแรงงาน,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้,ผู้ว่างงาน,19207,8195,11012
ภาคกลาง,สระบุรี,ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,ผู้ว่างงาน,76919.12,39246.175,37672.945
ภาคกลาง,ชลบุรี,ประชากรอายุ 15 ปีขึ้นไป,อื่นๆ,ผู้ว่างงาน,1520038.75,755500,764538.75
ภาคกลาง,ชลบุรี,กำลังแรงงานรวม,อื่นๆ,ผู้ว่างงาน,1073245.948,594752.6075,478493.3375
ภาคกลาง,ชลบุรี,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้ว่างงาน,1072827.475,594501.535,478325.94
ภาคกลาง,ชลบุรี,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้มีงานทำ,1057211.605,585026.16,472185.445
ภาคกลาง,ชลบุรี,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้ว่างงาน,15615.8675,9475.375,6140.4975
ภาคกลาง,ชลบุรี,กำลังแรงงานรวม,กำลังแรงงานที่รอฤดูกาล,ผู้ว่างงาน,418.475,251.075,167.4
ภาคกลาง,ชลบุรี,ผู้ไม่อยู่ในกำลังแรงงาน,กำลังแรงงานที่รอฤดูกาล,ผู้ว่างงาน,446792.8025,160747.39,286045.41
ภาคกลาง,ชลบุรี,ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,ผู้ว่างงาน,141222.0025,9889.9175,131332.0875
ภาคกลาง,ชลบุรี,ผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,ผู้ว่างงาน,97919.0025,42117.31,55801.695
ภาคกลาง,ชลบุรี,ผู้ไม่อยู่ในกำลังแรงงาน,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้,ผู้ว่างงาน,36415,17615,18800
ภาคกลาง,ชลบุรี,ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,ผู้ว่างงาน,171236.5675,91125.175,80111.6425
ภาคกลาง,ระยอง,ประชากรอายุ 15 ปีขึ้นไป,อื่นๆ,ผู้ว่างงาน,774392.75,389960.75,384432
ภาคกลาง,ระยอง,กำลังแรงงานรวม,อื่นๆ,ผู้ว่างงาน,578577.755,330127.5025,248450.25
ภาคกลาง,ระยอง,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้ว่างงาน,578328.195,330025.5225,248302.67
ภาคกลาง,ระยอง,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้มีงานทำ,572438.1775,326148.265,246289.915
ภาคกลาง,ระยอง,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้ว่างงาน,5890.0125,3877.2625,2012.7575
ภาคกลาง,ระยอง,กำลังแรงงานรวม,กำลังแรงงานที่รอฤดูกาล,ผู้ว่างงาน,249.56,101.98,147.58
ภาคกลาง,ระยอง,ผู้ไม่อยู่ในกำลังแรงงาน,กำลังแรงงานที่รอฤดูกาล,ผู้ว่างงาน,195814.995,59833.245,135981.75
ภาคกลาง,ระยอง,ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,ผู้ว่างงาน,70506.465,3291.4625,67215.0025
ภาคกลาง,ระยอง,ผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,ผู้ว่างงาน,50832.7375,24136.9125,26695.8275
ภาคกลาง,ระยอง,ผู้ไม่อยู่ในกำลังแรงงาน,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้,ผู้ว่างงาน,14263.75,5305.75,8957.75
ภาคกลาง,ระยอง,ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,ผู้ว่างงาน,60212.185,27098.97,33113.215
ภาคกลาง,จันทบุรี,ประชากรอายุ 15 ปีขึ้นไป,อื่นๆ,ผู้ว่างงาน,476559.7525,231209.75,245350
ภาคกลาง,จันทบุรี,กำลังแรงงานรวม,อื่นๆ,ผู้ว่างงาน,373209.9675,197973.4525,175236.5175
ภาคกลาง,จันทบุรี,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้ว่างงาน,373172.1375,197935.6225,175236.5175
ภาคกลาง,จันทบุรี,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้มีงานทำ,370483.7225,196437.4525,174046.2725
ภาคกลาง,จันทบุรี,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้ว่างงาน,2688.4175,1498.175,1190.245
ภาคกลาง,จันทบุรี,กำลังแรงงานรวม,กำลังแรงงานที่รอฤดูกาล,ผู้ว่างงาน,37.83,37.83,0
ภาคกลาง,จันทบุรี,ผู้ไม่อยู่ในกำลังแรงงาน,กำลังแรงงานที่รอฤดูกาล,ผู้ว่างงาน,103349.7825,33236.2975,70113.485
ภาคกลาง,จันทบุรี,ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,ผู้ว่างงาน,29546.235,1122.7925,28423.45
ภาคกลาง,จันทบุรี,ผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,ผู้ว่างงาน,23189.18,10232.7725,12956.4075
ภาคกลาง,จันทบุรี,ผู้ไม่อยู่ในกำลังแรงงาน,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้,ผู้ว่างงาน,11168.5,4226.5,6942.25
ภาคกลาง,จันทบุรี,ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,ผู้ว่างงาน,39445.915,17654.23,21791.435
ภาคกลาง,ตราด,ประชากรอายุ 15 ปีขึ้นไป,อื่นๆ,ผู้ว่างงาน,242826.5,121883.5,120943
ภาคกลาง,ตราด,กำลังแรงงานรวม,อื่นๆ,ผู้ว่างงาน,172749.0225,99520.1425,73228.88
ภาคกลาง,ตราด,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้ว่างงาน,172749.0225,99520.1425,73228.88
ภาคกลาง,ตราด,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้มีงานทำ,171734.405,98758.885,72975.5175
ภาคกลาง,ตราด,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้ว่างงาน,1014.6225,761.2575,253.3625
ภาคกลาง,ตราด,กำลังแรงงานรวม,กำลังแรงงานที่รอฤดูกาล,ผู้ว่างงาน,0,0,0
ภาคกลาง,ตราด,ผู้ไม่อยู่ในกำลังแรงงาน,กำลังแรงงานที่รอฤดูกาล,ผู้ว่างงาน,70077.475,22363.3575,47714.12
ภาคกลาง,ตราด,ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,ผู้ว่างงาน,25276.265,673.83,24602.435
ภาคกลาง,ตราด,ผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,ผู้ว่างงาน,13983.915,6771.9925,7211.9225
ภาคกลาง,ตราด,ผู้ไม่อยู่ในกำลังแรงงาน,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้,ผู้ว่างงาน,6168.75,2736.5,3432.5
ภาคกลาง,ตราด,ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,ผู้ว่างงาน,24648.5925,12181.21,12467.3825
ภาคกลาง,ฉะเชิงเทรา,ประชากรอายุ 15 ปีขึ้นไป,อื่นๆ,ผู้ว่างงาน,698053.5,339719.75,358333.75
ภาคกลาง,ฉะเชิงเทรา,กำลังแรงงานรวม,อื่นๆ,ผู้ว่างงาน,469142.21,264536.7125,204605.4975
ภาคกลาง,ฉะเชิงเทรา,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้ว่างงาน,468637.4575,264208.0225,204429.435
